LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,LATITUDE,LONGITUDE,Location 1
660801,WESTCHESTER,MOUNT PLEASANT CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,49,21.2%,28,12.1%,77,33.3%,MIDDLE/HIGH,SCHOOL DISTRICT,825 WESTLAKE DR,THORNWOOD,,10594,,,"(41.11809, -73.773597)"
660802,WESTCHESTER,POCANTICO HILLS CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,21,18.6%,12,10.6%,33,29.2%,DISTRICT TOTAL,SCHOOL DISTRICT,599 BEDFORD RD,SLEEPY HOLLOW,,10591,,,"(41.078061, -73.855087)"
660802,WESTCHESTER,POCANTICO HILLS CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,13,16.9%,5,6.5%,18,23.4%,ELEMENTARY,SCHOOL DISTRICT,599 BEDFORD RD,SLEEPY HOLLOW,,10591,,,"(41.078061, -73.855087)"
660802,WESTCHESTER,POCANTICO HILLS CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,5,21.7%,,,5,21.7%,MIDDLE/HIGH,SCHOOL DISTRICT,599 BEDFORD RD,SLEEPY HOLLOW,,10591,,,"(41.078061, -73.855087)"
660805,WESTCHESTER,VALHALLA UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,75,14.9%,62,12.3%,137,27.1%,DISTRICT TOTAL,SCHOOL DISTRICT,316 COLUMBUS AVE,VALHALLA,,10595,,,"(41.084453, -73.782282)"
660805,WESTCHESTER,VALHALLA UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,46,15.1%,35,11.5%,81,26.6%,ELEMENTARY,SCHOOL DISTRICT,316 COLUMBUS AVE,VALHALLA,,10595,,,"(41.084453, -73.782282)"
660805,WESTCHESTER,VALHALLA UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,29,14.7%,27,13.7%,56,28.4%,MIDDLE/HIGH,SCHOOL DISTRICT,316 COLUMBUS AVE,VALHALLA,,10595,,,"(41.084453, -73.782282)"
660809,WESTCHESTER,PLEASANTVILLE UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,64,13.3%,37,7.7%,101,21%,DISTRICT TOTAL,SCHOOL DISTRICT,60 ROMER AVE,PLEASANTVILLE,,10570,,,"(41.131526, -73.789107)"
660809,WESTCHESTER,PLEASANTVILLE UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,31,11.6%,19,7.1%,50,18.7%,ELEMENTARY,SCHOOL DISTRICT,60 ROMER AVE,PLEASANTVILLE,,10570,,,"(41.131526, -73.789107)"
660809,WESTCHESTER,PLEASANTVILLE UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,35,17.2%,17,8.4%,52,25.6%,MIDDLE/HIGH,SCHOOL DISTRICT,60 ROMER AVE,PLEASANTVILLE,,10570,,,"(41.131526, -73.789107)"
660900,WESTCHESTER,MOUNT VERNON SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,289,15.8%,296,16.2%,585,32%,DISTRICT TOTAL,SCHOOL DISTRICT,165 N COLUMBUS AVE,MOUNT VERNON,,10553,,,"(40.909082, -73.821287)"
660900,WESTCHESTER,MOUNT VERNON SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,206,17%,195,16.1%,401,33.2%,ELEMENTARY,SCHOOL DISTRICT,165 N COLUMBUS AVE,MOUNT VERNON,,10553,,,"(40.909082, -73.821287)"
660900,WESTCHESTER,MOUNT VERNON SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,83,13.5%,101,16.4%,184,29.8%,MIDDLE/HIGH,SCHOOL DISTRICT,165 N COLUMBUS AVE,MOUNT VERNON,,10553,,,"(40.909082, -73.821287)"
661004,WESTCHESTER,CHAPPAQUA CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,171,13.6%,82,6.5%,253,20.1%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 21,CHAPPAQUA,,10514,,,"(41.171866, -73.771922)"
661004,WESTCHESTER,CHAPPAQUA CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,86,12.4%,48,6.9%,134,19.3%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 21,CHAPPAQUA,,10514,,,"(41.171866, -73.771922)"
661004,WESTCHESTER,CHAPPAQUA CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,85,15%,34,6%,119,21%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 21,CHAPPAQUA,,10514,,,"(41.171866, -73.771922)"
661100,WESTCHESTER,NEW ROCHELLE CITY SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,613,16.9%,672,18.5%,1285,35.4%,DISTRICT TOTAL,SCHOOL DISTRICT,515 NORTH AVE,NEW ROCHELLE,,10801,,,"(40.917133, -73.785079)"
661100,WESTCHESTER,NEW ROCHELLE CITY SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,343,15.6%,418,19%,761,34.7%,ELEMENTARY,SCHOOL DISTRICT,515 NORTH AVE,NEW ROCHELLE,,10801,,,"(40.917133, -73.785079)"
661100,WESTCHESTER,NEW ROCHELLE CITY SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,270,18.9%,254,17.8%,524,36.7%,MIDDLE/HIGH,SCHOOL DISTRICT,515 NORTH AVE,NEW ROCHELLE,,10801,,,"(40.917133, -73.785079)"
661201,WESTCHESTER,BYRAM HILLS CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,92,10.8%,52,6.1%,144,17%,DISTRICT TOTAL,SCHOOL DISTRICT,10 TRIPP LN,ARMONK,,10504,,,"(41.133709, -73.704734)"
661201,WESTCHESTER,BYRAM HILLS CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,40,8.6%,30,6.5%,70,15.1%,ELEMENTARY,SCHOOL DISTRICT,10 TRIPP LN,ARMONK,,10504,,,"(41.133709, -73.704734)"
661201,WESTCHESTER,BYRAM HILLS CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,52,13.5%,22,5.7%,74,19.2%,MIDDLE/HIGH,SCHOOL DISTRICT,10 TRIPP LN,ARMONK,,10504,,,"(41.133709, -73.704734)"
661301,WESTCHESTER,NORTH SALEM CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,48,12%,40,10%,88,22%,DISTRICT TOTAL,SCHOOL DISTRICT,230 JUNE RD,NORTH SALEM,,10560,,,"(41.333012, -73.611084)"
661301,WESTCHESTER,NORTH SALEM CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,27,11.2%,19,7.9%,46,19.1%,ELEMENTARY,SCHOOL DISTRICT,230 JUNE RD,NORTH SALEM,,10560,,,"(41.333012, -73.611084)"
661301,WESTCHESTER,NORTH SALEM CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,21,13.6%,21,13.6%,42,27.3%,MIDDLE/HIGH,SCHOOL DISTRICT,230 JUNE RD,NORTH SALEM,,10560,,,"(41.333012, -73.611084)"
661401,WESTCHESTER,OSSINING UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,257,19.5%,258,19.6%,515,39%,DISTRICT TOTAL,SCHOOL DISTRICT,190 CROTON AVE,OSSINING,,10562,,,"(41.182134, -73.841562)"
661401,WESTCHESTER,OSSINING UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,143,18.2%,152,19.4%,295,37.6%,ELEMENTARY,SCHOOL DISTRICT,190 CROTON AVE,OSSINING,,10562,,,"(41.182134, -73.841562)"
661401,WESTCHESTER,OSSINING UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,114,21.3%,106,19.9%,220,41.2%,MIDDLE/HIGH,SCHOOL DISTRICT,190 CROTON AVE,OSSINING,,10562,,,"(41.182134, -73.841562)"
661402,WESTCHESTER,BRIARCLIFF MANOR UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,78,13.7%,49,8.6%,127,22.2%,DISTRICT TOTAL,SCHOOL DISTRICT,45 INGHAM RD,BRIARCLIFF MANOR,,10510,,,"(41.144418, -73.833916)"
661402,WESTCHESTER,BRIARCLIFF MANOR UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,29,10.7%,27,9.9%,56,20.6%,ELEMENTARY,SCHOOL DISTRICT,45 INGHAM RD,BRIARCLIFF MANOR,,10510,,,"(41.144418, -73.833916)"
661402,WESTCHESTER,BRIARCLIFF MANOR UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,49,17.2%,18,6.3%,67,23.5%,MIDDLE/HIGH,SCHOOL DISTRICT,45 INGHAM RD,BRIARCLIFF MANOR,,10510,,,"(41.144418, -73.833916)"
661500,WESTCHESTER,PEEKSKILL CITY SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,158,20.8%,185,24.3%,343,45.1%,DISTRICT TOTAL,SCHOOL DISTRICT,1031 ELM ST,PEEKSKILL,,10566,,,"(41.289818, -73.917154)"
661500,WESTCHESTER,PEEKSKILL CITY SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,94,18.7%,119,23.7%,213,42.4%,ELEMENTARY,SCHOOL DISTRICT,1031 ELM ST,PEEKSKILL,,10566,,,"(41.289818, -73.917154)"
661500,WESTCHESTER,PEEKSKILL CITY SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,64,21.5%,66,22.1%,130,43.6%,MIDDLE/HIGH,SCHOOL DISTRICT,1031 ELM ST,PEEKSKILL,,10566,,,"(41.289818, -73.917154)"
661601,WESTCHESTER,PELHAM UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,74,11.5%,66,10.2%,140,21.7%,DISTRICT TOTAL,SCHOOL DISTRICT,18 FRANKLIN PL,PELHAM,,10803,,,"(40.901353, -73.807326)"
661601,WESTCHESTER,PELHAM UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,43,9%,49,10.3%,92,19.3%,ELEMENTARY,SCHOOL DISTRICT,18 FRANKLIN PL,PELHAM,,10803,,,"(40.901353, -73.807326)"
661601,WESTCHESTER,PELHAM UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,31,18.3%,17,10.1%,48,28.4%,MIDDLE/HIGH,SCHOOL DISTRICT,18 FRANKLIN PL,PELHAM,,10803,,,"(40.901353, -73.807326)"
661800,WESTCHESTER,RYE CITY SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,125,10.7%,66,5.6%,191,16.3%,DISTRICT TOTAL,SCHOOL DISTRICT,411 THEODORE FREMD AVE-ST 1005,RYE,,10580,,,"(40.978288, -73.692374)"
661800,WESTCHESTER,RYE CITY SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,77,10.8%,37,5.2%,114,15.9%,ELEMENTARY,SCHOOL DISTRICT,411 THEODORE FREMD AVE-ST 1005,RYE,,10580,,,"(40.978288, -73.692374)"
661800,WESTCHESTER,RYE CITY SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,48,10.6%,29,6.4%,77,17%,MIDDLE/HIGH,SCHOOL DISTRICT,411 THEODORE FREMD AVE-ST 1005,RYE,,10580,,,"(40.978288, -73.692374)"
661901,WESTCHESTER,RYE NECK UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,177,27.8%,55,8.6%,232,36.4%,DISTRICT TOTAL,SCHOOL DISTRICT,310 HORNIDGE RD,MAMARONECK,,10543,,,"(40.952304, -73.734488)"
661901,WESTCHESTER,RYE NECK UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,41,12.7%,31,9.6%,72,22.3%,ELEMENTARY,SCHOOL DISTRICT,310 HORNIDGE RD,MAMARONECK,,10543,,,"(40.952304, -73.734488)"
661901,WESTCHESTER,RYE NECK UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,30,14.6%,24,11.7%,54,26.3%,MIDDLE/HIGH,SCHOOL DISTRICT,310 HORNIDGE RD,MAMARONECK,,10543,,,"(40.952304, -73.734488)"
661904,WESTCHESTER,PORT CHESTER-RYE UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,316,20.3%,394,25.3%,710,45.5%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 246,PORT CHESTER,,10573,,,"(41.013901, -73.675373)"
661904,WESTCHESTER,PORT CHESTER-RYE UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,190,19.1%,268,27%,458,46.1%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 246,PORT CHESTER,,10573,,,"(41.013901, -73.675373)"
661904,WESTCHESTER,PORT CHESTER-RYE UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,117,21%,126,22.6%,243,43.5%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 246,PORT CHESTER,,10573,,,"(41.013901, -73.675373)"
661905,WESTCHESTER,BLIND BROOK-RYE UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,80,14.4%,40,7.2%,120,21.7%,DISTRICT TOTAL,SCHOOL DISTRICT,390 N RIDGE ST,RYE BROOK,,10573,,,"(41.013901, -73.675373)"
661905,WESTCHESTER,BLIND BROOK-RYE UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,44,13.7%,25,7.8%,69,21.4%,ELEMENTARY,SCHOOL DISTRICT,390 N RIDGE ST,RYE BROOK,,10573,,,"(41.013901, -73.675373)"
661905,WESTCHESTER,BLIND BROOK-RYE UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,36,16.4%,13,5.9%,49,22.3%,MIDDLE/HIGH,SCHOOL DISTRICT,390 N RIDGE ST,RYE BROOK,,10573,,,"(41.013901, -73.675373)"
662001,WESTCHESTER,SCARSDALE UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,112,9.1%,63,5.1%,175,14.2%,DISTRICT TOTAL,SCHOOL DISTRICT,2 BREWSTER RD,SCARSDALE,,10583,,,"(40.989326, -73.795401)"
662001,WESTCHESTER,SCARSDALE UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,42,6.5%,26,4%,68,10.4%,ELEMENTARY,SCHOOL DISTRICT,2 BREWSTER RD,SCARSDALE,,10583,,,"(40.989326, -73.795401)"
662001,WESTCHESTER,SCARSDALE UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,70,12%,37,6.3%,107,18.3%,MIDDLE/HIGH,SCHOOL DISTRICT,2 BREWSTER RD,SCARSDALE,,10583,,,"(40.989326, -73.795401)"
662101,WESTCHESTER,SOMERS CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,124,14.2%,84,9.6%,208,23.9%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 620,SOMERS,,10589,,,"(41.331013, -73.694975)"
662101,WESTCHESTER,SOMERS CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,65,14.3%,40,8.8%,105,23%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 620,SOMERS,,10589,,,"(41.331013, -73.694975)"
662101,WESTCHESTER,SOMERS CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,59,14.2%,44,10.6%,103,24.8%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 620,SOMERS,,10589,,,"(41.331013, -73.694975)"
662200,WESTCHESTER,WHITE PLAINS CITY SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,282,15.2%,270,14.5%,552,29.7%,DISTRICT TOTAL,SCHOOL DISTRICT,5 HOMESIDE LN,WHITE PLAINS,,10605,,,"(41.008997, -73.747232)"
662200,WESTCHESTER,WHITE PLAINS CITY SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,182,15.4%,136,11.5%,318,26.9%,ELEMENTARY,SCHOOL DISTRICT,5 HOMESIDE LN,WHITE PLAINS,,10605,,,"(41.008997, -73.747232)"
662200,WESTCHESTER,WHITE PLAINS CITY SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,100,14.7%,134,19.8%,234,34.5%,MIDDLE/HIGH,SCHOOL DISTRICT,5 HOMESIDE LN,WHITE PLAINS,,10605,,,"(41.008997, -73.747232)"
662300,WESTCHESTER,YONKERS CITY SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,563,11.1%,1052,20.7%,1615,31.7%,DISTRICT TOTAL,SCHOOL DISTRICT,1 LARKIN CTR,YONKERS,,10701,,,"(40.944049, -73.881102)"
662300,WESTCHESTER,YONKERS CITY SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,394,11.5%,741,21.6%,1135,33.1%,ELEMENTARY,SCHOOL DISTRICT,1 LARKIN CTR,YONKERS,,10701,,,"(40.944049, -73.881102)"
662300,WESTCHESTER,YONKERS CITY SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,169,10.2%,311,18.7%,480,28.9%,MIDDLE/HIGH,SCHOOL DISTRICT,1 LARKIN CTR,YONKERS,,10701,,,"(40.944049, -73.881102)"
662401,WESTCHESTER,LAKELAND CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,306,16.2%,278,14.7%,584,30.9%,DISTRICT TOTAL,SCHOOL DISTRICT,1086 MAIN ST,SHRUB OAK,,10588,,,"(41.331105, -73.828637)"
662401,WESTCHESTER,LAKELAND CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,177,16%,166,15%,343,30.9%,ELEMENTARY,SCHOOL DISTRICT,1086 MAIN ST,SHRUB OAK,,10588,,,"(41.331105, -73.828637)"
662401,WESTCHESTER,LAKELAND CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,119,15.5%,112,14.5%,231,30%,MIDDLE/HIGH,SCHOOL DISTRICT,1086 MAIN ST,SHRUB OAK,,10588,,,"(41.331105, -73.828637)"
662402,WESTCHESTER,YORKTOWN CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,212,18.1%,128,10.9%,340,29%,DISTRICT TOTAL,SCHOOL DISTRICT,2725 CROMPOND RD,YORKTOWN HEIGHTS,,10598,,,"(41.292054, -73.793408)"
662402,WESTCHESTER,YORKTOWN CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,102,16.7%,63,10.3%,165,27%,ELEMENTARY,SCHOOL DISTRICT,2725 CROMPOND RD,YORKTOWN HEIGHTS,,10598,,,"(41.292054, -73.793408)"
662402,WESTCHESTER,YORKTOWN CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,110,19.6%,65,11.6%,175,31.2%,MIDDLE/HIGH,SCHOOL DISTRICT,2725 CROMPOND RD,YORKTOWN HEIGHTS,,10598,,,"(41.292054, -73.793408)"
670201,WYOMING,ATTICA CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,66,14.5%,89,19.5%,155,34%,DISTRICT TOTAL,SCHOOL DISTRICT,3338 E MAIN ST,ATTICA,,14011,,,"(42.830721, -78.291508)"
670201,WYOMING,ATTICA CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,36,14.6%,43,17.5%,79,32.1%,ELEMENTARY,SCHOOL DISTRICT,3338 E MAIN ST,ATTICA,,14011,,,"(42.830721, -78.291508)"
670201,WYOMING,ATTICA CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,30,14.3%,46,21.9%,76,36.2%,MIDDLE/HIGH,SCHOOL DISTRICT,3338 E MAIN ST,ATTICA,,14011,,,"(42.830721, -78.291508)"
670401,WYOMING,LETCHWORTH CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,50,18.4%,57,21%,107,39.3%,DISTRICT TOTAL,SCHOOL DISTRICT,5550 SCHOOL RD,GAINESVILLE,,14066,,,"(42.623963, -78.179486)"
670401,WYOMING,LETCHWORTH CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,32,17.6%,32,17.6%,64,35.2%,ELEMENTARY,SCHOOL DISTRICT,5550 SCHOOL RD,GAINESVILLE,,14066,,,"(42.623963, -78.179486)"
670401,WYOMING,LETCHWORTH CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,18,20%,25,27.8%,43,47.8%,MIDDLE/HIGH,SCHOOL DISTRICT,5550 SCHOOL RD,GAINESVILLE,,14066,,,"(42.623963, -78.179486)"
671002,WYOMING,WYOMING CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,,,,,,,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 244,WYOMING,,14591,,,"(42.829028, -78.090046)"
671002,WYOMING,WYOMING CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,,,,,,,ELEMENTARY,SCHOOL DISTRICT,PO BOX 244,WYOMING,,14591,,,"(42.829028, -78.090046)"
671002,WYOMING,WYOMING CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 244,WYOMING,,14591,,,"(42.829028, -78.090046)"
671201,WYOMING,PERRY CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,46,18.3%,48,19.1%,94,37.5%,DISTRICT TOTAL,SCHOOL DISTRICT,33 WATKINS AVE,PERRY,,14530,,,"(42.731213, -78.004538)"
671201,WYOMING,PERRY CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,29,20.9%,24,17.3%,53,38.1%,ELEMENTARY,SCHOOL DISTRICT,33 WATKINS AVE,PERRY,,14530,,,"(42.731213, -78.004538)"
671201,WYOMING,PERRY CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,12,11.1%,25,23.1%,37,34.3%,MIDDLE/HIGH,SCHOOL DISTRICT,33 WATKINS AVE,PERRY,,14530,,,"(42.731213, -78.004538)"
671501,WYOMING,WARSAW CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,50,15.3%,58,17.8%,108,33.1%,DISTRICT TOTAL,SCHOOL DISTRICT,153 W BUFFALO ST,WARSAW,,14569,,,"(42.740132, -78.167436)"
671501,WYOMING,WARSAW CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,29,13.9%,35,16.8%,64,30.8%,ELEMENTARY,SCHOOL DISTRICT,153 W BUFFALO ST,WARSAW,,14569,,,"(42.740132, -78.167436)"
671501,WYOMING,WARSAW CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,21,17.8%,23,19.5%,44,37.3%,MIDDLE/HIGH,SCHOOL DISTRICT,153 W BUFFALO ST,WARSAW,,14569,,,"(42.740132, -78.167436)"
680601,YATES,PENN YAN CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,73,14.5%,110,21.8%,183,36.2%,DISTRICT TOTAL,SCHOOL DISTRICT,1 SCHOOL DR,PENN YAN,,14527,,,"(42.662294, -77.062296)"
680601,YATES,PENN YAN CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,32,12.3%,58,22.3%,90,34.6%,ELEMENTARY,SCHOOL DISTRICT,1 SCHOOL DR,PENN YAN,,14527,,,"(42.662294, -77.062296)"
680601,YATES,PENN YAN CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,42,17.1%,52,21.1%,94,38.2%,MIDDLE/HIGH,SCHOOL DISTRICT,1 SCHOOL DR,PENN YAN,,14527,,,"(42.662294, -77.062296)"
680801,YATES,DUNDEE CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,54,19.9%,68,25%,122,44.9%,DISTRICT TOTAL,SCHOOL DISTRICT,55 WATER ST,DUNDEE,,14837,,,"(42.501328, -77.010042)"
680801,YATES,DUNDEE CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,37,24%,34,22.1%,71,46.1%,ELEMENTARY,SCHOOL DISTRICT,55 WATER ST,DUNDEE,,14837,,,"(42.501328, -77.010042)"
680801,YATES,DUNDEE CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,17,14.4%,34,28.8%,51,43.2%,MIDDLE/HIGH,SCHOOL DISTRICT,55 WATER ST,DUNDEE,,14837,,,"(42.501328, -77.010042)"
000000,N/A,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2010-2012,77813,16.2%,84578,17.6%,162391,33.7%,DISTRICT TOTAL,STATEWIDE (EXCLUDING NYC),,,,,,,
000000,N/A,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2010-2012,44970,15.8%,48843,17.2%,93813,33%,ELEMENTARY,STATEWIDE (EXCLUDING NYC),,,,,,,
000000,N/A,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2010-2012,33004,16.8%,35719,18.2%,68723,35%,MIDDLE/HIGH,STATEWIDE (EXCLUDING NYC),,,,,,,
100000,N/A,CENTRAL NEW YORK,CENTRAL NEW YORK,2010-2012,11186,17%,12613,19.2%,23799,36.2%,DISTRICT TOTAL,REGION,,,,,,,
100000,N/A,CENTRAL NEW YORK,CENTRAL NEW YORK,2010-2012,6707,16.8%,7387,18.6%,14094,35.4%,ELEMENTARY,REGION,,,,,,,
100000,N/A,CENTRAL NEW YORK,CENTRAL NEW YORK,2010-2012,4336,17.5%,5144,20.7%,9480,38.2%,MIDDLE/HIGH,REGION,,,,,,,
200000,N/A,FINGER LAKES,FINGER LAKES,2010-2012,8777,16.3%,9666,18%,18443,34.3%,DISTRICT TOTAL,REGION,,,,,,,
200000,N/A,FINGER LAKES,FINGER LAKES,2010-2012,5059,16%,5374,17%,10433,33%,ELEMENTARY,REGION,,,,,,,
200000,N/A,FINGER LAKES,FINGER LAKES,2010-2012,3924,16.7%,4569,19.5%,8493,36.2%,MIDDLE/HIGH,REGION,,,,,,,
300000,N/A,HUDSON VALLEY,HUDSON VALLEY,2010-2012,13603,15.8%,13995,16.3%,27598,32.2%,DISTRICT TOTAL,REGION,,,,,,,
300000,N/A,HUDSON VALLEY,HUDSON VALLEY,2010-2012,7605,15.2%,8060,16.1%,15665,31.3%,ELEMENTARY,REGION,,,,,,,
300000,N/A,HUDSON VALLEY,HUDSON VALLEY,2010-2012,6077,16.9%,5978,16.6%,12055,33.5%,MIDDLE/HIGH,REGION,,,,,,,
700000,N/A,WESTERN NEW YORK,WESTERN NEW YORK,2010-2012,10009,15.8%,11427,18%,21436,33.8%,DISTRICT TOTAL,REGION,,,,,,,
700000,N/A,WESTERN NEW YORK,WESTERN NEW YORK,2010-2012,5827,15.2%,6587,17.1%,12414,32.3%,ELEMENTARY,REGION,,,,,,,
700000,N/A,WESTERN NEW YORK,WESTERN NEW YORK,2010-2012,4251,17.1%,4900,19.8%,9151,36.9%,MIDDLE/HIGH,REGION,,,,,,,
000001,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2010-2012,1514,15%,1802,17.9%,3316,32.9%,DISTRICT TOTAL,COUNTY,,,,,,,"(42.678066, -73.814233)"
000001,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2010-2012,855,15.6%,895,16.4%,1750,32%,ELEMENTARY,COUNTY,,,,,,,"(42.678066, -73.814233)"
000001,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2010-2012,799,17.2%,769,16.6%,1568,33.8%,MIDDLE/HIGH,COUNTY,,,,,,,"(42.678066, -73.814233)"
000002,ALLEGANY,ALLEGANY,WESTERN NEW YORK,2010-2012,465,15.5%,442,14.7%,907,30.3%,DISTRICT TOTAL,COUNTY,,,,,,,"(42.226801, -78.020567)"
